date_id,date,orders
1,27.12.2018,17
2,28.12.2018,29
3,29.12.2018,30
4,30.12.2018,24
5,31.12.2018,11
6,01.01.2019,27
7,02.01.2019,31
8,03.01.2019,28
9,04.01.2019,39
10,05.01.2019,29
11,06.01.2019,30
12,07.01.2019,35
13,08.01.2019,39
14,09.01.2019,17
15,10.01.2019,21
16,11.01.2019,35
17,12.01.2019,35
18,13.01.2019,48
19,14.01.2019,28
20,15.01.2019,36
21,16.01.2019,29
22,17.01.2019,32
23,18.01.2019,31
24,19.01.2019,45
25,20.01.2019,56
26,21.01.2019,29
27,22.01.2019,21
28,23.01.2019,35
29,24.01.2019,42
30,25.01.2019,32
31,26.01.2019,52
32,27.01.2019,49
33,28.01.2019,31
34,29.01.2019,18
35,30.01.2019,32
36,31.01.2019,33
37,01.02.2019,37
38,02.02.2019,62
39,03.02.2019,61
40,04.02.2019,26
41,05.02.2019,17
42,06.02.2019,29
43,07.02.2019,45
44,08.02.2019,35
45,09.02.2019,54
46,10.02.2019,61
47,11.02.2019,27
48,12.02.2019,40
49,13.02.2019,42
50,14.02.2019,55
51,15.02.2019,43
52,16.02.2019,61
53,17.02.2019,67
54,18.02.2019,42
55,19.02.2019,51
56,20.02.2019,47
57,21.02.2019,34
58,22.02.2019,35
59,23.02.2019,47
60,24.02.2019,44
61,25.02.2019,29
62,26.02.2019,31
63,27.02.2019,26
64,28.02.2019,29
65,01.03.2019,34
66,02.03.2019,40
67,03.03.2019,52
68,04.03.2019,25
69,05.03.2019,28
70,06.03.2019,33
71,07.03.2019,43
72,08.03.2019,50
73,09.03.2019,59
74,10.03.2019,38
75,11.03.2019,32
76,12.03.2019,26
77,13.03.2019,36
78,14.03.2019,28
79,15.03.2019,32
80,16.03.2019,51
81,17.03.2019,48
82,18.03.2019,27
83,19.03.2019,32
84,20.03.2019,28
85,21.03.2019,30
86,22.03.2019,44
87,23.03.2019,41
88,24.03.2019,53
89,25.03.2019,31
90,26.03.2019,28
91,27.03.2019,40
92,28.03.2019,31
93,29.03.2019,32
94,30.03.2019,61
95,31.03.2019,61
96,01.04.2019,32
